baseline_id,technique,db,elapsed_s,total_tokens,prompt_tokens,completion_tokens,llm_calls,error
dacomp-017__baseline,*,dacomp-017,16.7,1825,1374,451,2,
dacomp-048__baseline,*,dacomp-048,17.61,1907,1503,404,2,
dacomp-055__baseline,*,dacomp-055,14.84,1811,1445,366,2,
dacomp-025__baseline,*,dacomp-025,46.78,5652,4074,1578,4,
dacomp-021__baseline,*,dacomp-021,49.53,3530,2192,1338,2,
dacomp-061__baseline,*,dacomp-061,17.71,1797,1412,385,2,
dacomp-081__baseline,*,dacomp-081,10.39,1661,1427,234,2,
dacomp-080__baseline,*,dacomp-080,15.69,1722,1365,357,2,
dacomp-083__baseline,*,dacomp-083,13.06,1843,1525,318,2,
dacomp-085__baseline,*,dacomp-085,13.76,1674,1344,330,2,
dacomp-054__baseline,*,dacomp-054,58.96,8813,6603,2210,4,
dacomp-001__baseline,*,dacomp-001,75.82,9140,6622,2518,6,
dacomp-086__baseline,*,dacomp-086,13.75,1827,1485,342,2,
dacomp-092__baseline,*,dacomp-092,60.09,9144,7479,1665,6,
