technique,db,total_tokens,elapsed_s
T6.1,dacomp-001,6439,101.12
T6.1,dacomp-025,2670,30.38
T6.1,dacomp-054,3810,37.51
T6.1,dacomp-061,2901,36.23
T6.1,dacomp-085,3372,44.37
T6.2,dacomp-001,6439,101.12
T6.2,dacomp-025,2670,30.38
T6.2,dacomp-054,3810,37.51
T6.2,dacomp-086,6021,58.37
T6.2,dacomp-092,18493,164.71
T7.1,dacomp-017,11760,125.53
T7.1,dacomp-055,4676,31.45
T7.1,dacomp-080,3105,38.42
T7.1,dacomp-086,6021,58.37
T7.1,dacomp-092,18493,164.71
T7.2,dacomp-021,2806,26.7
T7.2,dacomp-048,2897,38.87
T7.2,dacomp-081,2054,26.63
T7.2,dacomp-083,2782,31.55
T7.2,dacomp-086,6021,58.37
