baseline_id,technique,db,elapsed_s,total_tokens,prompt_tokens,completion_tokens,llm_calls,error
T6.1__dacomp-001__baseline,T6.1,dacomp-001,64.66,10294,136,10158,1,
T6.1__dacomp-025__baseline,T6.1,dacomp-025,51.59,6577,105,6472,1,
T6.1__dacomp-054__baseline,T6.1,dacomp-054,408.24,17669,249,17420,1,
T6.1__dacomp-061__baseline,T6.1,dacomp-061,99.57,18304,161,18143,1,
T6.1__dacomp-085__baseline,T6.1,dacomp-085,226.0,22879,258,22621,1,
T7.1__dacomp-017__baseline,T7.1,dacomp-017,92.12,9416,177,9239,1,
T7.1__dacomp-055__baseline,T7.1,dacomp-055,128.61,18185,241,17944,1,
T7.1__dacomp-080__baseline,T7.1,dacomp-080,111.42,14089,184,13905,1,
T7.1__dacomp-086__baseline,T7.1,dacomp-086,267.52,26357,339,26018,1,
T7.1__dacomp-092__baseline,T7.1,dacomp-092,117.42,55020,243,54777,1,
T7.2__dacomp-021__baseline,T7.2,dacomp-021,50.19,9705,97,9608,1,
T7.2__dacomp-048__baseline,T7.2,dacomp-048,105.19,15059,61,14998,1,
T7.2__dacomp-081__baseline,T7.2,dacomp-081,86.35,19216,127,19089,1,
T7.2__dacomp-083__baseline,T7.2,dacomp-083,101.01,22684,393,22291,1,
T7.2__dacomp-086__baseline,T7.2,dacomp-086,127.42,21406,339,21067,1,
T6.2__dacomp-001__baseline,T6.2,dacomp-001,64.66,10294,136,10158,1,
T6.2__dacomp-025__baseline,T6.2,dacomp-025,51.59,6577,105,6472,1,
T6.2__dacomp-054__baseline,T6.2,dacomp-054,408.24,17669,249,17420,1,
T6.2__dacomp-086__baseline,T6.2,dacomp-086,127.42,21406,339,21067,1,
T6.2__dacomp-092__baseline,T6.2,dacomp-092,117.42,55020,243,54777,1,
