technique,db,total_tokens,elapsed_s
T6.1,dacomp-001,7635,33.13
T6.1,dacomp-025,4303,35.97
T6.1,dacomp-054,2472,23.73
T6.1,dacomp-061,2769,29.79
T6.1,dacomp-085,2269,18.55
T6.2,dacomp-001,7635,33.13
T6.2,dacomp-025,4303,35.97
T6.2,dacomp-054,2472,23.73
T6.2,dacomp-086,5811,43.34
T6.2,dacomp-092,3707,17.42
T7.1,dacomp-017,2943,21.01
T7.1,dacomp-055,2591,25.1
T7.1,dacomp-080,2821,18.94
T7.1,dacomp-086,5811,43.34
T7.1,dacomp-092,3707,17.42
T7.2,dacomp-021,2470,20.3
T7.2,dacomp-048,2110,21.7
T7.2,dacomp-081,3340,25.51
T7.2,dacomp-083,20192,64.29
T7.2,dacomp-086,5811,43.34
