baseline_id,technique,db,elapsed_s,total_tokens,prompt_tokens,completion_tokens,llm_calls,error
T6.1__dacomp-001__baseline,T6.1,dacomp-001,182.37,20538,14761,5777,2,
T6.1__dacomp-025__baseline,T6.1,dacomp-025,201.11,30471,23813,6658,4,
T6.1__dacomp-054__baseline,T6.1,dacomp-054,605.96,146169,127216,18953,6,
T6.1__dacomp-061__baseline,T6.1,dacomp-061,146.17,16019,11648,4371,2,
T6.1__dacomp-085__baseline,T6.1,dacomp-085,330.77,58506,48742,9764,4,
T7.1__dacomp-017__baseline,T7.1,dacomp-017,942.86,255489,223436,32053,8,
T7.1__dacomp-055__baseline,T7.1,dacomp-055,349.52,37608,27606,10002,2,
T7.1__dacomp-080__baseline,T7.1,dacomp-080,420.22,62784,48036,14748,4,
T7.1__dacomp-086__baseline,T7.1,dacomp-086,484.57,66231,50071,16160,4,
T7.1__dacomp-092__baseline,T7.1,dacomp-092,217.74,36818,29484,7334,4,
T7.2__dacomp-021__baseline,T7.2,dacomp-021,331.9,50281,38851,11430,4,
T7.2__dacomp-048__baseline,T7.2,dacomp-048,200.74,18345,11860,6485,2,
T7.2__dacomp-081__baseline,T7.2,dacomp-081,501.26,115851,99558,16293,6,
T7.2__dacomp-083__baseline,T7.2,dacomp-083,1240.07,305985,267399,38586,8,
T7.2__dacomp-086__baseline,T7.2,dacomp-086,70.79,7811,5419,2392,2,
