technique,db,total_tokens,elapsed_s
T6.1,dacomp-001,12127,97.07
T6.1,dacomp-025,3468,47.86
T6.1,dacomp-054,3044,29.43
T6.1,dacomp-061,3101,33.81
T6.1,dacomp-085,2799,29.24
T7.1,dacomp-017,3556,39.49
T7.1,dacomp-055,3713,48.14
T7.1,dacomp-080,2910,34.98
T7.1,dacomp-086,3097,35.71
T7.1,dacomp-092,2981,29.31
T7.2,dacomp-021,3622,38.52
T7.2,dacomp-048,4049,39.06
T7.2,dacomp-081,2865,28.2
T7.2,dacomp-083,3608,43.53
T7.2,dacomp-086,3097,35.71
T6.2,dacomp-025,2931,27.95
T6.2,dacomp-092,2958,31.38
T6.2,dacomp-001,2983,38.66
T6.2,dacomp-054,6740,48.19
T6.2,dacomp-086,6863,72.68
