baseline_id,technique,db,elapsed_s,total_tokens,prompt_tokens,completion_tokens,llm_calls,error
T6.1__dacomp-001__baseline,T6.1,dacomp-001,315.3,44864,35840,9024,10,
T6.1__dacomp-025__baseline,T6.1,dacomp-025,83.5,4932,3101,1831,4,
T6.1__dacomp-054__baseline,T6.1,dacomp-054,59.53,5007,3878,1129,5,
T6.1__dacomp-061__baseline,T6.1,dacomp-061,179.0,12084,7155,4929,5,
T6.1__dacomp-085__baseline,T6.1,dacomp-085,195.18,12878,7558,5320,5,
T7.1__dacomp-017__baseline,T7.1,dacomp-017,87.28,9320,7073,2247,7,
T7.1__dacomp-055__baseline,T7.1,dacomp-055,116.2,8580,5448,3132,5,
T7.1__dacomp-080__baseline,T7.1,dacomp-080,155.17,15018,10988,4030,6,
T7.1__dacomp-086__baseline,T7.1,dacomp-086,84.92,7659,5139,2520,5,
T7.1__dacomp-092__baseline,T7.1,dacomp-092,53.75,4009,2624,1385,4,
T7.2__dacomp-021__baseline,T7.2,dacomp-021,65.07,4378,2423,1955,4,
T7.2__dacomp-048__baseline,T7.2,dacomp-048,34.76,3069,2264,805,4,
T7.2__dacomp-081__baseline,T7.2,dacomp-081,71.77,5297,3366,1931,4,
T7.2__dacomp-083__baseline,T7.2,dacomp-083,119.99,9887,6554,3333,5,
T7.2__dacomp-086__baseline,T7.2,dacomp-086,106.6,10533,7517,3016,6,
