technique,db,total_tokens,elapsed_s
T6.1,dacomp-001,7761,78.81
T6.1,dacomp-025,6185,65.04
T6.1,dacomp-054,3458,32.52
T6.1,dacomp-061,6785,78.88
T6.1,dacomp-085,2403,16.41
T7.1,dacomp-017,4943,54.18
T7.1,dacomp-055,6272,67.15
T7.1,dacomp-080,4908,55.1
T7.1,dacomp-086,4909,55.43
T7.1,dacomp-092,4101,51.25
T7.2,dacomp-021,5593,90.28
T7.2,dacomp-048,5949,66.1
T7.2,dacomp-081,4703,31.54
T7.2,dacomp-083,6123,57.63
T7.2,dacomp-086,4909,55.43
T6.2,dacomp-086,1931,26.92
T6.2,dacomp-001,3696,27.67
T6.2,dacomp-025,4868,38.9
T6.2,dacomp-054,5178,41.72
T6.2,dacomp-092,6066,50.9
