platform,technique,n,strict_success,strict_ASR,relaxed_success,relaxed_ASR,avg_RAR_tok,avg_RAR_time,avg_ampl
DB-GPT,T6.1,25,12,48.0%,16,64.0%,2.75,13.893,13.99
DB-GPT,T6.2,25,16,64.0%,16,64.0%,1.936,3.015,3.154
DB-GPT,T7.1,25,6,24.0%,11,44.0%,4.105,6.375,7.615
DB-GPT,T7.2,25,18,72.0%,22,88.0%,10.164,7.167,10.606
DeepAnalyze,T6.1,25,18,72.0%,20,80.0%,5.693,12.669,12.958
DeepAnalyze,T6.2,25,6,24.0%,7,28.0%,1.562,2.146,2.29
DeepAnalyze,T7.1,25,25,100.0%,25,100.0%,8.871,5.765,10.005
DeepAnalyze,T7.2,25,7,28.0%,11,44.0%,3.392,4.425,4.7
LAMBDA,T6.1,25,12,48.0%,12,48.0%,1.495,17.713,17.959
LAMBDA,T7.1,25,7,28.0%,13,52.0%,10.011,5.872,10.172
LAMBDA,T7.2,25,12,48.0%,16,64.0%,8.96,5.584,9.321
MetaGPT,T6.1,25,3,12.0%,3,12.0%,1.249,1.502,1.529
MetaGPT,T7.1,25,0,0.0%,1,4.0%,1.707,1.887,1.941
MetaGPT,T7.2,25,8,32.0%,8,32.0%,1.49,1.721,1.826
